dataset,horizon,origin,input_length,step,phase,series,value_standardized
ETTh2,96,408,96,124,forecast,Ground truth,-0.6133962273597717
ETTh2,96,408,96,125,forecast,Ground truth,-0.6323868632316589
ETTh2,96,408,96,126,forecast,Ground truth,-0.6513773202896118
ETTh2,96,408,96,127,forecast,Ground truth,-0.6892721652984619
ETTh2,96,408,96,128,forecast,Ground truth,-0.6892721652984619
ETTh2,96,408,96,129,forecast,Ground truth,-0.5185731053352356
ETTh2,96,408,96,130,forecast,Ground truth,-0.3289266526699066
ETTh2,96,408,96,131,forecast,Ground truth,-0.10129929333925247
ETTh2,96,408,96,132,forecast,Ground truth,0.031461816281080246
ETTh2,96,408,96,133,forecast,Ground truth,0.20216089487075806
ETTh2,96,408,96,134,forecast,Ground truth,0.16422292590141296
ETTh2,96,408,96,135,forecast,Ground truth,0.012471340596675873
ETTh2,96,408,96,136,forecast,Ground truth,-0.06340444833040237
ETTh2,96,408,96,137,forecast,Ground truth,-0.13923710584640503
ETTh2,96,408,96,138,forecast,Ground truth,-0.1961224228143692
ETTh2,96,408,96,139,forecast,Ground truth,-0.25305086374282837
ETTh2,96,408,96,140,forecast,Ground truth,-0.30997931957244873
ETTh2,96,408,96,141,forecast,Ground truth,-0.34787416458129883
ETTh2,96,408,96,142,forecast,Ground truth,-0.385855108499527
ETTh2,96,408,96,143,forecast,Ground truth,-0.40480244159698486
ETTh2,96,408,96,144,forecast,Ground truth,-0.4237499535083771
ETTh2,96,408,96,145,forecast,Ground truth,-0.4617308974266052
ETTh2,96,408,96,146,forecast,Ground truth,-0.4617308974266052
ETTh2,96,408,96,147,forecast,Ground truth,-0.48067840933799744
ETTh2,96,408,96,148,forecast,Ground truth,-0.4996257424354553
ETTh2,96,408,96,149,forecast,Ground truth,-0.5375204086303711
ETTh2,96,408,96,150,forecast,Ground truth,-0.5565110445022583
ETTh2,96,408,96,151,forecast,Ground truth,-0.6133962273597717
ETTh2,96,408,96,152,forecast,Ground truth,-0.5944488644599915
ETTh2,96,408,96,153,forecast,Ground truth,-0.48067840933799744
ETTh2,96,408,96,154,forecast,Ground truth,-0.3289266526699066
ETTh2,96,408,96,155,forecast,Ground truth,-0.13923710584640503
ETTh2,96,408,96,156,forecast,Ground truth,-0.006519298534840345
ETTh2,96,408,96,157,forecast,Ground truth,0.12628494203090668
ETTh2,96,408,96,158,forecast,Ground truth,0.14527557790279388
ETTh2,96,408,96,159,forecast,Ground truth,0.012471340596675873
ETTh2,96,408,96,160,forecast,Ground truth,-0.06340444833040237
ETTh2,96,408,96,161,forecast,Ground truth,-0.10129929333925247
ETTh2,96,408,96,162,forecast,Ground truth,-0.12024662643671036
ETTh2,96,408,96,163,forecast,Ground truth,-0.15822774171829224
ETTh2,96,408,96,164,forecast,Ground truth,-0.15822774171829224
ETTh2,96,408,96,165,forecast,Ground truth,-0.1961224228143692
ETTh2,96,408,96,166,forecast,Ground truth,-0.23410353064537048
ETTh2,96,408,96,167,forecast,Ground truth,-0.23410353064537048
ETTh2,96,408,96,168,forecast,Ground truth,-0.29098886251449585
ETTh2,96,408,96,169,forecast,Ground truth,-0.30997931957244873
ETTh2,96,408,96,170,forecast,Ground truth,-0.30997931957244873
ETTh2,96,408,96,171,forecast,Ground truth,-0.3289266526699066
ETTh2,96,408,96,172,forecast,Ground truth,-0.34787416458129883
ETTh2,96,408,96,173,forecast,Ground truth,-0.34787416458129883
ETTh2,96,408,96,174,forecast,Ground truth,-0.385855108499527
ETTh2,96,408,96,175,forecast,Ground truth,-0.385855108499527
ETTh2,96,408,96,176,forecast,Ground truth,-0.385855108499527
ETTh2,96,408,96,177,forecast,Ground truth,-0.34787416458129883
ETTh2,96,408,96,178,forecast,Ground truth,-0.27199819684028625
ETTh2,96,408,96,179,forecast,Ground truth,-0.23410353064537048
ETTh2,96,408,96,180,forecast,Ground truth,-0.17717507481575012
ETTh2,96,408,96,181,forecast,Ground truth,-0.10129929333925247
ETTh2,96,408,96,182,forecast,Ground truth,-0.10129929333925247
ETTh2,96,408,96,183,forecast,Ground truth,-0.12024662643671036
ETTh2,96,408,96,184,forecast,Ground truth,-0.17717507481575012
ETTh2,96,408,96,185,forecast,Ground truth,-0.30997931957244873
ETTh2,96,408,96,186,forecast,Ground truth,-0.30997931957244873
ETTh2,96,408,96,187,forecast,Ground truth,-0.3289266526699066
ETTh2,96,408,96,188,forecast,Ground truth,-0.34787416458129883
ETTh2,96,408,96,189,forecast,Ground truth,-0.34787416458129883
ETTh2,96,408,96,190,forecast,Ground truth,-0.34787416458129883
ETTh2,96,408,96,191,forecast,Ground truth,-0.3668646514415741
ETTh2,96,408,96,0,input,TimeRole,-0.5944488644599915
ETTh2,96,408,96,1,input,TimeRole,-0.6323868632316589
ETTh2,96,408,96,2,input,TimeRole,-0.6323868632316589
ETTh2,96,408,96,3,input,TimeRole,-0.6513341665267944
ETTh2,96,408,96,4,input,TimeRole,-0.6892721652984619
ETTh2,96,408,96,5,input,TimeRole,-0.7651479840278625
ETTh2,96,408,96,6,input,TimeRole,-0.8031288981437683
ETTh2,96,408,96,7,input,TimeRole,-0.8410237431526184
ETTh2,96,408,96,8,input,TimeRole,-0.7651910781860352
ETTh2,96,408,96,9,input,TimeRole,-0.5375204086303711
ETTh2,96,408,96,10,input,TimeRole,-0.25305086374282837
ETTh2,96,408,96,11,input,TimeRole,0.03141867741942406
ETTh2,96,408,96,12,input,TimeRole,0.18317025899887085
ETTh2,96,408,96,13,input,TimeRole,0.33492201566696167
ETTh2,96,408,96,14,input,TimeRole,0.37281668186187744
ETTh2,96,408,96,15,input,TimeRole,0.37281668186187744
ETTh2,96,408,96,16,input,TimeRole,0.22115138173103333
ETTh2,96,408,96,17,input,TimeRole,0.12628494203090668
ETTh2,96,408,96,18,input,TimeRole,0.03141867741942406
ETTh2,96,408,96,19,input,TimeRole,-0.12024662643671036
ETTh2,96,408,96,20,input,TimeRole,-0.27199819684028625
ETTh2,96,408,96,21,input,TimeRole,-0.3668646514415741
ETTh2,96,408,96,22,input,TimeRole,-0.4237499535083771
ETTh2,96,408,96,23,input,TimeRole,-0.4237499535083771
ETTh2,96,408,96,24,input,TimeRole,-0.4617308974266052
ETTh2,96,408,96,25,input,TimeRole,-0.4617308974266052
ETTh2,96,408,96,26,input,TimeRole,-0.4996257424354553
ETTh2,96,408,96,27,input,TimeRole,-0.5375204086303711
ETTh2,96,408,96,28,input,TimeRole,-0.575501561164856
ETTh2,96,408,96,29,input,TimeRole,-0.6133962273597717
ETTh2,96,408,96,30,input,TimeRole,-0.6513773202896118
ETTh2,96,408,96,31,input,TimeRole,-0.6703246831893921
ETTh2,96,408,96,32,input,TimeRole,-0.6703246831893921
ETTh2,96,408,96,33,input,TimeRole,-0.5185731053352356
ETTh2,96,408,96,34,input,TimeRole,-0.3668646514415741
ETTh2,96,408,96,35,input,TimeRole,-0.29098886251449585
ETTh2,96,408,96,36,input,TimeRole,-0.1961224228143692
ETTh2,96,408,96,37,input,TimeRole,-0.12024662643671036
ETTh2,96,408,96,38,input,TimeRole,-0.04445711150765419
ETTh2,96,408,96,39,input,TimeRole,0.05040915310382843
ETTh2,96,408,96,40,input,TimeRole,0.10733760893344879
ETTh2,96,408,96,41,input,TimeRole,0.06939979642629623
ETTh2,96,408,96,42,input,TimeRole,-0.04445711150765419
ETTh2,96,408,96,43,input,TimeRole,-0.12024662643671036
ETTh2,96,408,96,44,input,TimeRole,-0.1961224228143692
ETTh2,96,408,96,45,input,TimeRole,-0.23410353064537048
ETTh2,96,408,96,46,input,TimeRole,-0.30997931957244873
ETTh2,96,408,96,47,input,TimeRole,-0.34787416458129883
ETTh2,96,408,96,48,input,TimeRole,-0.3668646514415741
ETTh2,96,408,96,49,input,TimeRole,-0.385855108499527
ETTh2,96,408,96,50,input,TimeRole,-0.4237499535083771
ETTh2,96,408,96,51,input,TimeRole,-0.44274044036865234
ETTh2,96,408,96,52,input,TimeRole,-0.48067840933799744
ETTh2,96,408,96,53,input,TimeRole,-0.5375204086303711
ETTh2,96,408,96,54,input,TimeRole,-0.575501561164856
ETTh2,96,408,96,55,input,TimeRole,-0.6323868632316589
ETTh2,96,408,96,56,input,TimeRole,-0.6323868632316589
ETTh2,96,408,96,57,input,TimeRole,-0.44274044036865234
ETTh2,96,408,96,58,input,TimeRole,-0.1961655616760254
ETTh2,96,408,96,59,input,TimeRole,0.08834712952375412
ETTh2,96,408,96,60,input,TimeRole,0.2779935598373413
ETTh2,96,408,96,61,input,TimeRole,0.5246115922927856
ETTh2,96,408,96,62,input,TimeRole,0.6573293805122375
ETTh2,96,408,96,63,input,TimeRole,0.6383821964263916
ETTh2,96,408,96,64,input,TimeRole,0.5246115922927856
ETTh2,96,408,96,65,input,TimeRole,0.3918071687221527
ETTh2,96,408,96,66,input,TimeRole,0.22115138173103333
ETTh2,96,408,96,67,input,TimeRole,0.08834712952375412
ETTh2,96,408,96,68,input,TimeRole,-0.006475997157394886
ETTh2,96,408,96,69,input,TimeRole,-0.12024662643671036
ETTh2,96,408,96,70,input,TimeRole,-0.17717507481575012
ETTh2,96,408,96,71,input,TimeRole,-0.25305086374282837
ETTh2,96,408,96,72,input,TimeRole,-0.29098886251449585
ETTh2,96,408,96,73,input,TimeRole,-0.3289266526699066
ETTh2,96,408,96,74,input,TimeRole,-0.40480244159698486
ETTh2,96,408,96,75,input,TimeRole,-0.48067840933799744
ETTh2,96,408,96,76,input,TimeRole,-0.575501561164856
ETTh2,96,408,96,77,input,TimeRole,-0.6703246831893921
ETTh2,96,408,96,78,input,TimeRole,-0.746200442314148
ETTh2,96,408,96,79,input,TimeRole,-0.7841384410858154
ETTh2,96,408,96,80,input,TimeRole,-0.6893153190612793
ETTh2,96,408,96,81,input,TimeRole,-0.40480244159698486
ETTh2,96,408,96,82,input,TimeRole,-0.17717507481575012
ETTh2,96,408,96,83,input,TimeRole,0.05040915310382843
ETTh2,96,408,96,84,input,TimeRole,0.18317025899887085
ETTh2,96,408,96,85,input,TimeRole,0.33492201566696167
ETTh2,96,408,96,86,input,TimeRole,0.48667341470718384
ETTh2,96,408,96,87,input,TimeRole,0.5246115922927856
ETTh2,96,408,96,88,input,TimeRole,0.44873562455177307
ETTh2,96,408,96,89,input,TimeRole,0.2779935598373413
ETTh2,96,408,96,90,input,TimeRole,0.1072944700717926
ETTh2,96,408,96,91,input,TimeRole,-0.025466637685894966
ETTh2,96,408,96,92,input,TimeRole,-0.10129929333925247
ETTh2,96,408,96,93,input,TimeRole,-0.15822774171829224
ETTh2,96,408,96,94,input,TimeRole,-0.1961224228143692
ETTh2,96,408,96,95,input,TimeRole,-0.23410353064537048
ETTh2,96,408,96,96,forecast,TimeRole,-0.32254868745803833
ETTh2,96,408,96,97,forecast,TimeRole,-0.3550277650356293
ETTh2,96,408,96,98,forecast,TimeRole,-0.3614822328090668
ETTh2,96,408,96,99,forecast,TimeRole,-0.37607139348983765
ETTh2,96,408,96,100,forecast,TimeRole,-0.4390583038330078
ETTh2,96,408,96,101,forecast,TimeRole,-0.5306575298309326
ETTh2,96,408,96,102,forecast,TimeRole,-0.5652545094490051
ETTh2,96,408,96,103,forecast,TimeRole,-0.6082435846328735
ETTh2,96,408,96,104,forecast,TimeRole,-0.4861096441745758
ETTh2,96,408,96,105,forecast,TimeRole,-0.34195905923843384
ETTh2,96,408,96,106,forecast,TimeRole,-0.17455214262008667
ETTh2,96,408,96,107,forecast,TimeRole,0.10031938552856445
ETTh2,96,408,96,108,forecast,TimeRole,0.16065220534801483
ETTh2,96,408,96,109,forecast,TimeRole,0.2838197946548462
ETTh2,96,408,96,110,forecast,TimeRole,0.36323684453964233
ETTh2,96,408,96,111,forecast,TimeRole,0.3836264908313751
ETTh2,96,408,96,112,forecast,TimeRole,0.3764936029911041
ETTh2,96,408,96,113,forecast,TimeRole,0.2193678617477417
ETTh2,96,408,96,114,forecast,TimeRole,0.1717154085636139
ETTh2,96,408,96,115,forecast,TimeRole,0.1338178515434265
ETTh2,96,408,96,116,forecast,TimeRole,-0.04188837483525276
ETTh2,96,408,96,117,forecast,TimeRole,-0.11873108893632889
ETTh2,96,408,96,118,forecast,TimeRole,-0.2190067023038864
ETTh2,96,408,96,119,forecast,TimeRole,-0.2898763418197632
ETTh2,96,408,96,120,forecast,TimeRole,-0.4115285873413086
ETTh2,96,408,96,121,forecast,TimeRole,-0.45418137311935425
ETTh2,96,408,96,122,forecast,TimeRole,-0.46942442655563354
ETTh2,96,408,96,123,forecast,TimeRole,-0.5164781808853149
ETTh2,96,408,96,124,forecast,TimeRole,-0.5696418881416321
ETTh2,96,408,96,125,forecast,TimeRole,-0.7011086344718933
ETTh2,96,408,96,126,forecast,TimeRole,-0.6362180709838867
ETTh2,96,408,96,127,forecast,TimeRole,-0.6788926720619202
ETTh2,96,408,96,128,forecast,TimeRole,-0.583881676197052
ETTh2,96,408,96,129,forecast,TimeRole,-0.42039984464645386
ETTh2,96,408,96,130,forecast,TimeRole,-0.21843747794628143
ETTh2,96,408,96,131,forecast,TimeRole,-0.06477519869804382
ETTh2,96,408,96,132,forecast,TimeRole,0.07182244956493378
ETTh2,96,408,96,133,forecast,TimeRole,0.12987515330314636
ETTh2,96,408,96,134,forecast,TimeRole,0.2849343717098236
ETTh2,96,408,96,135,forecast,TimeRole,0.2160256803035736
ETTh2,96,408,96,136,forecast,TimeRole,0.24005599319934845
ETTh2,96,408,96,137,forecast,TimeRole,0.08091415464878082
ETTh2,96,408,96,138,forecast,TimeRole,-0.008287407457828522
ETTh2,96,408,96,139,forecast,TimeRole,-0.06294255703687668
ETTh2,96,408,96,140,forecast,TimeRole,-0.1101943701505661
ETTh2,96,408,96,141,forecast,TimeRole,-0.15938769280910492
ETTh2,96,408,96,142,forecast,TimeRole,-0.26162031292915344
ETTh2,96,408,96,143,forecast,TimeRole,-0.2985062599182129
ETTh2,96,408,96,144,forecast,TimeRole,-0.3891461193561554
ETTh2,96,408,96,145,forecast,TimeRole,-0.4096980690956116
ETTh2,96,408,96,146,forecast,TimeRole,-0.3957255780696869
ETTh2,96,408,96,147,forecast,TimeRole,-0.4460654854774475
ETTh2,96,408,96,148,forecast,TimeRole,-0.43728119134902954
ETTh2,96,408,96,149,forecast,TimeRole,-0.504780113697052
ETTh2,96,408,96,150,forecast,TimeRole,-0.5779491662979126
ETTh2,96,408,96,151,forecast,TimeRole,-0.552162766456604
ETTh2,96,408,96,152,forecast,TimeRole,-0.5250526666641235
ETTh2,96,408,96,153,forecast,TimeRole,-0.4016132354736328
ETTh2,96,408,96,154,forecast,TimeRole,-0.19543278217315674
ETTh2,96,408,96,155,forecast,TimeRole,-0.09389045834541321
ETTh2,96,408,96,156,forecast,TimeRole,0.014055263251066208
ETTh2,96,408,96,157,forecast,TimeRole,0.12233913689851761
ETTh2,96,408,96,158,forecast,TimeRole,0.1878790557384491
ETTh2,96,408,96,159,forecast,TimeRole,0.25631070137023926
ETTh2,96,408,96,160,forecast,TimeRole,0.17561715841293335
ETTh2,96,408,96,161,forecast,TimeRole,0.11281707882881165
ETTh2,96,408,96,162,forecast,TimeRole,-0.014293994754552841
ETTh2,96,408,96,163,forecast,TimeRole,-0.11203217506408691
ETTh2,96,408,96,164,forecast,TimeRole,-0.15745387971401215
ETTh2,96,408,96,165,forecast,TimeRole,-0.2693420648574829
ETTh2,96,408,96,166,forecast,TimeRole,-0.3668973445892334
ETTh2,96,408,96,167,forecast,TimeRole,-0.3819209635257721
ETTh2,96,408,96,168,forecast,TimeRole,-0.49303242564201355
ETTh2,96,408,96,169,forecast,TimeRole,-0.470276415348053
ETTh2,96,408,96,170,forecast,TimeRole,-0.46293237805366516
ETTh2,96,408,96,171,forecast,TimeRole,-0.4878333806991577
ETTh2,96,408,96,172,forecast,TimeRole,-0.5311661958694458
ETTh2,96,408,96,173,forecast,TimeRole,-0.5811959505081177
ETTh2,96,408,96,174,forecast,TimeRole,-0.5150854587554932
ETTh2,96,408,96,175,forecast,TimeRole,-0.532079815864563
ETTh2,96,408,96,176,forecast,TimeRole,-0.5146853923797607
ETTh2,96,408,96,177,forecast,TimeRole,-0.38053175806999207
ETTh2,96,408,96,178,forecast,TimeRole,-0.19457314908504486
ETTh2,96,408,96,179,forecast,TimeRole,-0.0283503457903862
ETTh2,96,408,96,180,forecast,TimeRole,0.12134060263633728
ETTh2,96,408,96,181,forecast,TimeRole,0.2343260496854782
ETTh2,96,408,96,182,forecast,TimeRole,0.2923884093761444
ETTh2,96,408,96,183,forecast,TimeRole,0.2856079936027527
ETTh2,96,408,96,184,forecast,TimeRole,0.24769297242164612
ETTh2,96,408,96,185,forecast,TimeRole,0.1281016319990158
ETTh2,96,408,96,186,forecast,TimeRole,0.08110025525093079
ETTh2,96,408,96,187,forecast,TimeRole,-0.025175537914037704
ETTh2,96,408,96,188,forecast,TimeRole,-0.15723924338817596
ETTh2,96,408,96,189,forecast,TimeRole,-0.1452549695968628
ETTh2,96,408,96,190,forecast,TimeRole,-0.23008942604064941
ETTh2,96,408,96,191,forecast,TimeRole,-0.2552664875984192
ETTh2,96,408,96,0,input,S-Mamba,-0.5944488644599915
ETTh2,96,408,96,1,input,S-Mamba,-0.6323868632316589
ETTh2,96,408,96,2,input,S-Mamba,-0.6323868632316589
ETTh2,96,408,96,3,input,S-Mamba,-0.6513341665267944
ETTh2,96,408,96,4,input,S-Mamba,-0.6892721652984619
ETTh2,96,408,96,5,input,S-Mamba,-0.7651479840278625
ETTh2,96,408,96,6,input,S-Mamba,-0.8031288981437683
ETTh2,96,408,96,7,input,S-Mamba,-0.8410237431526184
ETTh2,96,408,96,8,input,S-Mamba,-0.7651910781860352
ETTh2,96,408,96,9,input,S-Mamba,-0.5375204086303711
ETTh2,96,408,96,10,input,S-Mamba,-0.25305086374282837
ETTh2,96,408,96,11,input,S-Mamba,0.03141867741942406
ETTh2,96,408,96,12,input,S-Mamba,0.18317025899887085
ETTh2,96,408,96,13,input,S-Mamba,0.33492201566696167
ETTh2,96,408,96,14,input,S-Mamba,0.37281668186187744
ETTh2,96,408,96,15,input,S-Mamba,0.37281668186187744
ETTh2,96,408,96,16,input,S-Mamba,0.22115138173103333
ETTh2,96,408,96,17,input,S-Mamba,0.12628494203090668
ETTh2,96,408,96,18,input,S-Mamba,0.03141867741942406
ETTh2,96,408,96,19,input,S-Mamba,-0.12024662643671036
ETTh2,96,408,96,20,input,S-Mamba,-0.27199819684028625
ETTh2,96,408,96,21,input,S-Mamba,-0.3668646514415741
ETTh2,96,408,96,22,input,S-Mamba,-0.4237499535083771
ETTh2,96,408,96,23,input,S-Mamba,-0.4237499535083771
ETTh2,96,408,96,24,input,S-Mamba,-0.4617308974266052
ETTh2,96,408,96,25,input,S-Mamba,-0.4617308974266052
ETTh2,96,408,96,26,input,S-Mamba,-0.4996257424354553
ETTh2,96,408,96,27,input,S-Mamba,-0.5375204086303711
ETTh2,96,408,96,28,input,S-Mamba,-0.575501561164856
ETTh2,96,408,96,29,input,S-Mamba,-0.6133962273597717
ETTh2,96,408,96,30,input,S-Mamba,-0.6513773202896118
ETTh2,96,408,96,31,input,S-Mamba,-0.6703246831893921
ETTh2,96,408,96,32,input,S-Mamba,-0.6703246831893921
ETTh2,96,408,96,33,input,S-Mamba,-0.5185731053352356
ETTh2,96,408,96,34,input,S-Mamba,-0.3668646514415741
ETTh2,96,408,96,35,input,S-Mamba,-0.29098886251449585
ETTh2,96,408,96,36,input,S-Mamba,-0.1961224228143692
ETTh2,96,408,96,37,input,S-Mamba,-0.12024662643671036
ETTh2,96,408,96,38,input,S-Mamba,-0.04445711150765419
ETTh2,96,408,96,39,input,S-Mamba,0.05040915310382843
ETTh2,96,408,96,40,input,S-Mamba,0.10733760893344879
ETTh2,96,408,96,41,input,S-Mamba,0.06939979642629623
